Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
479	91	669	1226
480	264	842	1397
481	153	731	231
482	14	90	28
483	274	855	1409
484	393	972	2569
485	884	418	962
486	386	1006	1519
487	754	288	1886
488	912	445	990
489	829	363	907
490	218	798	298
491	928	462	3
492	1026	560	1104
493	1039	574	1117
494	736	268	1870
495	604	138	682
496	434	1013	1567
497	350	928	428
498	161	740	1296
499	286	866	1423
500	528	61	608
501	58	637	1191
502	595	129	677
503	427	1007	505
504	662	196	742
505	46	624	124
506	1008	539	1086
507	27	604	1158
508	768	301	848
509	856	390	1990
510	1009	543	2141
511	333	910	1464
512	1039	571	2169
513	683	216	1816
514	548	80	626
515	73	653	1205
516	913	445	2047
517	385	963	463
518	908	441	3
519	99	677	177
520	215	800	298
521	689	222	767
522	755	288	1888
523	522	54	600
524	221	799	299
525	905	437	3
526	505	39	585
527	347	925	427
528	844	378	1976
529	331	908	1462
530	887	226	1820
531	651	185	729
532	138	715	1269
533	365	941	443
534	95	676	175
535	131	707	1262
536	588	123	1718
537	7	585	85
538	696	233	774
539	678	212	756
540	146	724	224
541	183	762	4446
542	458	1035	537
543	713	248	1843
544	7	584	1138
545	669	203	1801
546	613	310	1747
547	565	103	1699
548	676	210	1804
549	713	247	792
550	93	671	171
551	947	479	3
552	222	801	1355
553	555	91	633
554	583	115	1715
555	170	751	1303
556	565	100	645
557	270	850	1403
558	435	1013	513
559	518	52	1648
560	37	613	117
561	87	666	1220
562	874	408	953
563	972	507	2100
564	420	997	1549
565	342	922	420
566	873	413	3
567	406	985	1539
568	305	881	1438
569	303	880	1430
570	346	922	424
571	797	331	1925
572	771	304	2941
573	906	440	2036
574	421	998	1550
575	578	112	658
576	380	959	1511
577	239	817	319
578	577	110	1707
579	999	533	42
580	779	312	857
581	619	155	699
582	872	408	951
583	473	7	1605
584	278	854	356
585	675	209	753
586	863	397	1997
587	479	12	555
588	871	407	2001
589	54	632	132
590	426	1003	1556
591	50	628	130
592	615	153	693
593	328	905	407
594	975	511	20
595	17	595	95
596	50	629	1181
597	155	732	1290
598	416	994	496
599	773	307	851
600	275	852	353
601	469	5	1597
602	127	704	1256
603	451	1029	529
604	74	651	1204
605	1019	555	1097
606	736	273	814
607	563	99	2736
608	550	87	628
609	95	672	173
610	745	281	1875
611	920	454	3
612	736	271	814
613	824	360	1952
614	451	1028	1581
615	720	254	2891
616	457	1036	1588
617	653	189	731
618	980	514	23
619	633	167	713
620	751	285	1881
621	563	97	642
622	127	787	1258
623	1026	559	69
624	848	382	1980
625	185	761	265
626	159	736	1290
627	322	900	400
628	415	992	2589
629	386	964	466
630	155	732	1286
631	1028	561	69
632	499	33	576
633	329	908	1459
634	505	43	1633
635	597	131	681
636	516	56	1646
637	438	1016	1571
638	425	1004	1556
639	255	835	1388
640	145	724	1279
641	964	498	9
642	355	932	1486
643	241	821	319
644	917	451	997
645	1047	580	90
646	418	995	1549
647	870	408	948
648	406	984	486
649	213	793	291
650	645	179	1777
651	166	745	246
652	859	393	1993
653	290	958	370
654	702	234	1834
655	435	1013	513
656	672	210	752
657	263	843	343
658	531	65	1661
659	790	324	868
660	336	914	416
661	333	912	1466
662	391	970	470
663	226	805	306
664	842	376	1976
665	382	960	460
666	415	995	1550
667	570	100	650
668	644	178	722
669	833	366	911
670	932	467	3
671	201	780	2379
672	980	511	2111
673	520	53	1653
674	887	419	965
675	497	106	1629
676	127	706	206
677	926	460	3
678	972	505	15
679	656	190	735
680	37	618	1168
681	307	768	1318
682	179	758	1312
683	256	835	1387
684	1034	568	1112
685	819	353	1953
686	1035	567	1115
687	876	410	2008
688	97	675	1230
689	773	307	1905
690	914	446	994
691	1009	543	1087
692	296	874	1429
693	201	780	280
694	294	870	372
695	87	667	167
696	466	1045	2642
697	871	405	949
698	189	767	267
699	1008	542	51
700	966	497	5
701	433	1013	511
702	730	264	808
703	548	82	626
704	820	352	898
705	606	140	1740
706	797	331	1929
707	938	470	3
708	331	909	409
709	741	273	1873
710	861	394	1993
711	833	367	911
712	984	514	21
713	534	68	1666
714	625	159	1757
715	359	937	437
716	387	966	1518
717	773	304	1906
718	767	301	847
719	378	955	1509
720	397	975	475
721	152	730	1285
722	642	175	720
723	518	52	1648
724	874	410	952
725	606	140	686
726	267	847	347
727	789	325	868
728	606	140	684
729	165	743	1298
730	466	1045	1598
731	922	456	3
732	791	323	1923
733	63	642	1196
734	839	372	917
735	663	198	1793
736	908	442	2042
737	168	746	1301
738	655	188	1786
739	795	329	1927
740	428	1007	1561
741	262	840	1397
742	595	129	1729
743	811	342	889
744	151	729	231
745	760	294	1894
746	187	766	2368
747	790	326	868
748	400	979	2580
749	35	613	115
750	62	640	142
751	144	722	1274
752	207	785	293
753	715	249	793
754	239	818	319
755	1016	544	52
756	166	743	1297
757	401	977	479
758	930	459	1010
759	711	246	791
760	668	201	2846
761	455	1035	533
762	209	669	1222
763	687	221	1819
764	831	365	1965
765	363	939	1494
766	537	70	1668
767	296	874	376
768	221	799	299
769	668	201	746
770	545	80	1676
771	561	93	639
772	140	719	1273
773	1002	534	2136
774	282	860	360
775	84	664	164
776	601	133	679
777	996	530	1074
778	565	99	1697
779	998	531	41
780	704	237	1837
781	856	390	934
782	888	420	966
783	574	108	1708
784	704	237	1834
785	520	54	598
786	270	985	1407
787	106	684	186
788	331	909	1463
789	149	728	1283
790	914	448	2046
791	632	164	1764
792	125	702	1256
793	372	951	1505
794	367	945	445
795	705	239	1839
796	721	254	1854
797	103	656	156
798	72	651	1201
799	314	893	1446
800	732	265	810
801	983	517	2117
802	262	840	342
803	527	59	607
804	281	861	1414
805	174	752	2353
806	876	412	954
807	586	120	1722
808	343	919	2518
809	179	757	257
810	224	804	306
811	848	382	1982
812	814	348	1944
813	462	1041	1595
814	290	870	1424
815	509	43	589
816	653	187	731
817	384	962	462
818	646	178	1779
819	222	800	300
820	861	394	1993
821	359	939	439
822	435	1013	1568
823	408	958	477
824	1033	565	72
825	730	262	808
826	473	7	1607
827	380	960	462
828	867	401	1997
829	508	42	588
830	779	312	857
831	404	1018	484
832	587	121	666
833	441	1020	1574
834	702	235	780
835	998	529	37
836	378	956	456
837	930	463	3
838	905	439	3
839	42	710	126
840	1014	548	55
841	812	348	890
842	279	857	1412
843	97	676	1230
844	296	876	374
845	50	630	128
846	938	471	1016
847	1039	572	82
848	542	74	1674
849	190	771	1324
850	582	116	662
851	157	737	237
852	280	859	1411
853	294	873	1427
854	125	706	1260
855	816	349	894
856	84	664	162
857	137	717	215
858	1015	548	58
859	883	417	2017
860	679	176	1770
861	163	743	241
862	459	1038	1594
863	835	363	915
864	604	138	1738
865	399	977	479
866	793	329	872
867	850	384	928
868	681	213	759
869	271	849	349
870	464	1061	542
871	746	278	824
872	692	226	1826
873	429	1008	1562
874	303	883	383
875	78	657	1213
876	384	962	462
877	522	55	602
878	921	453	2055
879	490	25	568
880	1027	560	2160
881	988	503	1066
882	382	963	459
883	520	52	1652
884	750	284	828
885	303	883	381
886	717	248	795
887	570	104	1702
888	552	84	1684
889	215	795	295
890	852	386	932
891	97	676	1228
892	215	793	293
893	386	962	464
894	915	449	3
895	320	898	1450
896	42	619	120
897	608	142	1740
898	1023	557	66
899	848	382	928
900	983	515	22
901	209	790	1342
902	423	1001	501
903	93	672	1224
904	1033	567	74
905	464	1045	1599
906	732	266	810
907	695	228	773
908	870	404	2002
909	499	33	1633
910	514	48	1648
911	692	226	1826
912	23	604	1156
913	796	329	876
914	706	238	786
915	859	393	939
916	11	588	1144
917	548	82	626
918	288	867	1421
919	263	843	341
920	469	6	547
921	444	1022	1575
922	183	761	261
923	250	829	1384
924	861	393	939
925	348	928	428
926	79	658	158
927	813	346	1944
928	644	178	1778
929	459	1037	537
930	514	46	1646
931	395	975	473
932	51	630	1185
933	586	118	1720
934	979	509	1059
935	516	50	594
936	479	11	557
937	498	31	1630
938	94	674	172
939	428	1008	510
940	480	10	1610
941	629	161	1765
942	475	11	553
943	55	634	1189
944	990	521	29
945	773	307	1907
946	9	590	1146
947	74	653	1207
948	213	793	1348
949	61	642	1196
950	708	240	1841
951	842	374	1976
952	786	320	1918
953	938	642	2070
954	664	198	744
955	606	142	1740
956	669	203	749
957	353	1327	433
958	329	907	407
959	752	286	830
960	142	721	1277
961	717	251	797
962	408	988	486
963	488	22	567
964	1031	563	71
965	550	72	630
966	655	189	735
967	466	1050	546
968	67	648	1202
969	440	1018	2619
970	512	46	1644
971	644	178	1776
972	786	318	864
973	552	84	1684
974	144	723	221
975	9	588	1140
976	888	426	3
977	108	689	1245
978	207	786	2383
979	696	232	1828
980	266	846	1401
981	157	735	1290
982	964	497	9
983	790	322	870
984	929	463	2063
985	35	615	1170
986	1036	568	78
987	848	381	926
988	780	312	1912
989	446	1024	524
990	236	811	1363
991	781	313	859
992	408	981	488
993	518	52	598
994	389	968	1524
995	558	89	636
996	78	659	1213
997	388	968	469
998	183	763	261
999	525	85	1661
