Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
771	376	973	507
772	397	951	537
773	807	331	883
774	174	728	1314
775	249	804	324
776	1056	575	3213
777	507	22	585
778	825	344	1983
779	589	101	2812
780	211	812	346
781	882	375	1376
782	250	799	1405
783	369	970	1528
784	16	571	93
785	398	956	474
786	86	640	1210
787	459	1008	2612
788	818	342	893
789	636	158	711
790	332	884	4600
791	852	370	2002
792	590	110	665
793	90	642	1193
794	630	550	5940
795	867	388	3028
796	354	908	429
797	25	601	103
798	138	742	276
799	335	932	466
800	104	661	180
801	591	106	666
802	765	284	3952
803	457	1058	2681
804	352	907	429
805	265	818	3452
806	307	864	441
807	647	169	89
808	801	326	877
809	320	874	2490
810	374	921	2538
811	694	214	1788
812	194	742	1343
813	852	375	983
814	614	134	689
815	476	1072	606
816	605	125	680
817	292	893	1451
818	902	391	978
819	894	415	3
820	1016	531	63
821	685	205	760
822	95	650	170
823	749	275	824
824	115	717	2338
825	636	159	1781
826	771	292	2932
827	739	200	2895
828	37	593	113
829	899	420	3
830	63	668	2275
831	736	256	3969
832	342	945	477
833	324	925	456
834	181	778	311
835	591	113	668
836	502	1052	3693
837	440	1042	576
838	482	1032	2663
839	67	619	4333
840	779	301	5044
841	269	876	2499
842	840	361	1935
843	745	267	820
844	384	987	518
845	780	303	856
846	175	777	5520
847	164	718	240
848	910	425	986
849	320	870	396
850	650	170	790
851	59	610	2235
852	462	1011	2621
853	380	928	1535
854	131	737	269
855	895	416	3115
856	270	816	3456
857	702	226	2919
858	683	145	2840
859	617	132	695
860	281	833	358
861	756	267	2925
862	764	288	898
863	674	198	1819
864	812	335	1905
865	385	885	3585
866	466	1022	542
867	1017	530	1094
868	1078	592	122
869	895	415	3
870	401	949	2613
871	366	913	1471
872	463	1020	540
873	233	795	309
874	788	292	1937
875	750	213	5017
876	535	56	666
877	16	570	92
878	45	480	57
879	331	889	4550
880	48	648	182
881	514	38	645
882	403	958	478
883	982	507	31
884	26	573	3248
885	499	14	577
886	350	899	1507
887	786	290	864
888	589	109	729
889	998	511	2139
890	638	106	2799
891	874	399	950
892	520	31	1672
893	1032	553	5310
894	181	784	316
895	800	448	932
896	248	799	1351
897	14	235	3915
898	805	312	880
899	673	198	749
900	635	150	1774
901	484	5	620
902	174	774	310
903	4	605	139
904	1086	466	1100
905	305	861	382
906	620	103	695
907	423	1442	2645
908	391	945	467
909	226	776	302
910	286	833	1380
911	25	622	156
912	286	870	363
