Reaction test v3
type	A+B+C
number	1000

max value	65536
unit	us

test	A	B	C
872	8	16	3
873	95	3	3
874	13	3	3
875	38	15	3
876	3	117	3
877	33	41	47
878	62	74	33
879	14	7	3
880	145	20	12
881	16	8	3
882	8	16	3
883	24	84	14
884	35	45	3
885	8	23	3
886	25	17	7
887	162	39	3
888	49	39	3
889	25	31	3
890	3	15	3
891	26	36	18
892	7	14	3
893	7	16	3
894	21	29	11
895	3	13	3
896	49	43	3
897	48	3	3
898	8	14	3
899	22	32	3
900	7	14	3
901	51	41	11
902	7	17	3
903	17	27	8
904	11	21	3
905	36	102	28
906	24	28	3
907	15	7	3
908	27	17	3
909	34	7	3
910	168	13	5
911	17	27	9
912	46	34	5
913	49	39	3
914	18	26	8
915	39	45	3
916	25	15	7
917	7	111	3
918	54	119	3
919	8	16	3
920	38	44	3
921	58	64	3
922	30	169	20
923	271	36	26
924	3	13	3
925	19	9	3
926	15	7	3
927	53	63	3
928	19	36	10
929	29	39	3
930	66	74	33
931	14	8	3
932	24	34	3
933	36	28	3
934	16	8	3
935	34	24	3
936	46	40	3
937	17	7	3
938	19	54	3
939	17	27	3
940	65	7	3
941	36	8	3
942	7	13	3
943	15	7	3
944	21	11	3
945	21	13	3
946	49	43	3
947	52	46	3
948	49	39	10
949	29	17	3
950	8	14	3
951	13	3	3
952	7	13	3
953	24	32	3
954	46	53	3
955	58	48	3
956	7	69	3
957	50	7	3
958	39	47	9
959	34	44	3
960	23	13	3
961	13	23	5
962	30	20	10
963	31	21	12
964	13	7	3
965	3	13	3
966	101	3	3
967	11	34	3
968	30	56	3
969	15	23	5
970	201	8	3
971	13	25	3
972	45	35	5
973	27	37	3
974	68	58	27
975	50	7	3
976	27	37	3
977	13	3	3
978	25	17	7
979	26	84	16
980	27	17	7
981	14	8	3
982	8	18	3
983	25	17	7
984	83	74	64
985	41	31	3
986	62	52	3
987	3	95	3
988	15	7	3
989	13	3	3
990	37	42	3
991	37	27	43
992	3	13	3
993	3	13	3
994	7	15	3
995	42	52	11
996	9	35	3
997	70	80	87
998	21	7	3
999	13	3	19
